Date,Open,High,Low,Close,Volume,Adj Close
2016-01-15,1916.680054,1916.680054,1857.829956,1880.329956,5468460000,1880.329956
2016-01-14,1891.680054,1934.469971,1878.930054,1921.839966,5241110000,1921.839966
2016-01-13,1940.339966,1950.329956,1886.410034,1890.280029,5087030000,1890.280029
2016-01-12,1927.829956,1947.380005,1914.349976,1938.680054,4887260000,1938.680054
2016-01-11,1926.119995,1935.650024,1901.099976,1923.670044,4607290000,1923.670044
2016-01-08,1985.319946,1985.319946,1918.459961,1922.030029,4664940000,1922.030029
2016-01-07,1985.319946,1985.319946,1938.829956,1943.089966,5076590000,1943.089966
2016-01-06,2011.709961,2011.709961,1979.050049,1990.26001,4336660000,1990.26001
2016-01-05,2013.780029,2021.939941,2004.170044,2016.709961,3706620000,2016.709961
2016-01-04,2038.199951,2038.199951,1989.680054,2012.660034,4304880000,2012.660034
2015-12-31,2060.590088,2062.540039,2043.619995,2043.939941,2655330000,2043.939941
2015-12-30,2077.340088,2077.340088,2061.969971,2063.360107,2367430000,2063.360107
2015-12-29,2060.540039,2081.560059,2060.540039,2078.360107,2542000000,2078.360107
2015-12-28,2057.77002,2057.77002,2044.199951,2056.5,2492510000,2056.5
2015-12-24,2063.52002,2067.360107,2058.72998,2060.98999,1411860000,2060.98999
2015-12-23,2042.199951,2064.72998,2042.199951,2064.290039,3484090000,2064.290039
2015-12-22,2023.150024,2042.73999,2020.48999,2038.969971,3520860000,2038.969971
2015-12-21,2010.27002,2022.900024,2005.930054,2021.150024,3760280000,2021.150024
2015-12-18,2040.810059,2040.810059,2005.329956,2005.550049,6683070000,2005.550049
2015-12-17,2073.76001,2076.370117,2041.660034,2041.890015,4327390000,2041.890015
2015-12-16,2046.5,2076.719971,2042.430054,2073.070068,4635450000,2073.070068
2015-12-15,2025.550049,2053.870117,2025.550049,2043.410034,4353540000,2043.410034
2015-12-14,2013.369995,2022.920044,1993.26001,2021.939941,4612440000,2021.939941
2015-12-11,2047.27002,2047.27002,2008.800049,2012.369995,4301060000,2012.369995
2015-12-10,2047.930054,2067.649902,2045.670044,2052.22998,3715150000,2052.22998
2015-12-09,2061.169922,2080.330078,2036.530029,2047.619995,4385250000,2047.619995
2015-12-08,2073.389893,2073.850098,2052.320068,2063.590088,4173570000,2063.590088
2015-12-07,2090.419922,2090.419922,2066.780029,2077.070068,4043820000,2077.070068
2015-12-04,2051.23999,2093.840088,2051.23999,2091.689941,4214910000,2091.689941
2015-12-03,2080.709961,2085,2042.349976,2049.620117,4306490000,2049.620117
2015-12-02,2101.709961,2104.27002,2077.110107,2079.51001,3950640000,2079.51001
2015-12-01,2082.929932,2103.370117,2082.929932,2102.629883,3712120000,2102.629883
2015-11-30,2090.949951,2093.810059,2080.409912,2080.409912,4245030000,2080.409912
2015-11-27,2088.820068,2093.290039,2084.129883,2090.110107,1466840000,2090.110107
2015-11-25,2089.300049,2093,2086.300049,2088.870117,2852940000,2088.870117
2015-11-24,2084.419922,2094.120117,2070.290039,2089.139893,3884930000,2089.139893
2015-11-23,2089.409912,2095.610107,2081.389893,2086.590088,3587980000,2086.590088
2015-11-20,2082.820068,2097.060059,2082.820068,2089.169922,3929600000,2089.169922
2015-11-19,2083.699951,2086.73999,2078.76001,2081.23999,3628110000,2081.23999
2015-11-18,2051.98999,2085.310059,2051.98999,2083.580078,3926390000,2083.580078
2015-11-17,2053.669922,2066.689941,2045.900024,2050.439941,4427350000,2050.439941
2015-11-16,2022.079956,2053.219971,2019.390015,2053.189941,3741240000,2053.189941
2015-11-13,2044.640015,2044.640015,2022.02002,2023.040039,4278750000,2023.040039
2015-11-12,2072.290039,2072.290039,2045.660034,2045.969971,4016370000,2045.969971
2015-11-11,2083.409912,2086.939941,2074.850098,2075,3692410000,2075
2015-11-10,2077.189941,2083.669922,2069.909912,2081.719971,3821440000,2081.719971
2015-11-09,2096.560059,2096.560059,2068.23999,2078.580078,3882350000,2078.580078
2015-11-06,2098.600098,2101.909912,2083.73999,2099.199951,4369020000,2099.199951
2015-11-05,2101.679932,2108.780029,2090.409912,2099.929932,4051890000,2099.929932
2015-11-04,2110.600098,2114.590088,2096.97998,2102.310059,4078870000,2102.310059
2015-11-03,2102.629883,2116.47998,2097.51001,2109.790039,4272060000,2109.790039
2015-11-02,2080.76001,2106.199951,2080.76001,2104.050049,3760020000,2104.050049
2015-10-30,2090,2094.320068,2079.340088,2079.360107,4256200000,2079.360107
2015-10-29,2088.350098,2092.52002,2082.629883,2089.409912,4008940000,2089.409912
2015-10-28,2066.47998,2090.350098,2063.110107,2090.350098,4698110000,2090.350098
2015-10-27,2068.75,2070.370117,2058.840088,2065.889893,4216880000,2065.889893
2015-10-26,2075.080078,2075.139893,2066.530029,2071.179932,3385800000,2071.179932
2015-10-23,2058.189941,2079.73999,2058.189941,2075.149902,4108460000,2075.149902
2015-10-22,2021.880005,2055.199951,2021.880005,2052.51001,4430850000,2052.51001
2015-10-21,2033.469971,2037.969971,2017.219971,2018.939941,3627790000,2018.939941
2015-10-20,2033.130005,2039.119995,2026.609985,2030.77002,3331500000,2030.77002
2015-10-19,2031.72998,2034.449951,2022.310059,2033.660034,3287320000,2033.660034
2015-10-16,2024.369995,2033.540039,2020.459961,2033.109985,3595430000,2033.109985
2015-10-15,1996.469971,2024.150024,1996.469971,2023.859985,3746290000,2023.859985
2015-10-14,2003.660034,2009.560059,1990.72998,1994.23999,3644590000,1994.23999
2015-10-13,2015,2022.339966,2001.780029,2003.689941,3401920000,2003.689941
2015-10-12,2015.650024,2018.660034,2010.550049,2017.459961,2893250000,2017.459961
2015-10-09,2013.72998,2020.130005,2007.609985,2014.890015,3706900000,2014.890015
2015-10-08,1994.01001,2016.5,1987.530029,2013.430054,3939140000,2013.430054
2015-10-07,1982.339966,1999.310059,1976.439941,1995.829956,4666470000,1995.829956
2015-10-06,1986.630005,1991.619995,1971.98999,1979.920044,4202400000,1979.920044
2015-10-05,1954.329956,1989.170044,1954.329956,1987.050049,4334490000,1987.050049
2015-10-02,1921.77002,1951.359985,1893.699951,1951.359985,4378570000,1951.359985
2015-10-01,1919.650024,1927.209961,1900.699951,1923.819946,3983600000,1923.819946
2015-09-30,1887.140015,1920.530029,1887.140015,1920.030029,4525070000,1920.030029
2015-09-29,1881.900024,1899.47998,1871.910034,1884.089966,4132390000,1884.089966
2015-09-28,1929.180054,1929.180054,1879.209961,1881.77002,4326660000,1881.77002
2015-09-25,1935.930054,1952.890015,1921.5,1931.339966,3721870000,1931.339966
2015-09-24,1934.810059,1937.170044,1908.920044,1932.23999,4091530000,1932.23999
2015-09-23,1943.23999,1949.52002,1932.569946,1938.76001,3190530000,1938.76001
2015-09-22,1961.390015,1961.390015,1929.219971,1942.73999,3808260000,1942.73999
2015-09-21,1960.839966,1979.640015,1955.800049,1966.969971,3269350000,1966.969971
2015-09-18,1989.660034,1989.660034,1953.449951,1958.030029,6021240000,1958.030029
2015-09-17,1995.329956,2020.859985,1986.72998,1990.199951,4183790000,1990.199951
2015-09-16,1978.02002,1997.26001,1977.930054,1995.310059,3630680000,1995.310059
2015-09-15,1955.099976,1983.189941,1954.300049,1978.089966,3239860000,1978.089966
2015-09-14,1963.060059,1963.060059,1948.27002,1953.030029,3000200000,1953.030029
2015-09-11,1951.449951,1961.050049,1939.189941,1961.050049,3218590000,1961.050049
2015-09-10,1941.589966,1965.290039,1937.189941,1952.290039,3626320000,1952.290039
2015-09-09,1971.449951,1988.630005,1937.880005,1942.040039,3652120000,1942.040039
2015-09-08,1927.300049,1970.420044,1927.300049,1969.410034,3548650000,1969.410034
2015-09-04,1947.76001,1947.76001,1911.209961,1921.219971,3167090000,1921.219971
2015-09-03,1950.790039,1975.01001,1944.719971,1951.130005,3520700000,1951.130005
2015-09-02,1916.52002,1948.910034,1916.52002,1948.859985,3742620000,1948.859985
2015-09-01,1970.089966,1970.089966,1903.069946,1913.849976,4371850000,1913.849976
2015-08-31,1986.72998,1986.72998,1965.97998,1972.180054,3915100000,1972.180054
2015-08-28,1986.060059,1993.47998,1975.189941,1988.869995,3949080000,1988.869995
2015-08-27,1942.77002,1989.599976,1942.77002,1987.660034,5006390000,1987.660034
2015-08-26,1872.75,1943.089966,1872.75,1940.51001,5338250000,1940.51001
2015-08-25,1898.079956,1948.040039,1867.079956,1867.609985,5183560000,1867.609985
2015-08-24,1965.150024,1965.150024,1867.01001,1893.209961,6612690000,1893.209961
2015-08-21,2034.079956,2034.079956,1970.890015,1970.890015,5018240000,1970.890015
2015-08-20,2076.610107,2076.610107,2035.72998,2035.72998,3922470000,2035.72998
2015-08-19,2095.689941,2096.169922,2070.530029,2079.610107,3512920000,2079.610107
2015-08-18,2101.98999,2103.469971,2094.139893,2096.919922,2949990000,2096.919922
2015-08-17,2089.699951,2102.870117,2079.300049,2102.439941,2867690000,2102.439941
2015-08-14,2083.149902,2092.449951,2080.610107,2091.540039,2795590000,2091.540039
2015-08-13,2086.189941,2092.929932,2078.26001,2083.389893,3221300000,2083.389893
2015-08-12,2081.100098,2089.060059,2052.090088,2086.050049,4269130000,2086.050049
2015-08-11,2102.659912,2102.659912,2076.48999,2084.070068,3708880000,2084.070068
2015-08-10,2080.97998,2105.350098,2080.97998,2104.179932,3514460000,2104.179932
2015-08-07,2082.610107,2082.610107,2067.909912,2077.570068,3602320000,2077.570068
2015-08-06,2100.75,2103.320068,2075.530029,2083.560059,4246570000,2083.560059
2015-08-05,2095.27002,2112.659912,2095.27002,2099.840088,3968680000,2099.840088
2015-08-04,2097.679932,2102.51001,2088.600098,2093.320068,3546710000,2093.320068
2015-08-03,2104.48999,2105.699951,2087.310059,2098.040039,3476770000,2098.040039
2015-07-31,2111.600098,2114.23999,2102.070068,2103.840088,3681340000,2103.840088
2015-07-30,2106.780029,2110.47998,2094.969971,2108.629883,3579410000,2108.629883
2015-07-29,2094.699951,2110.600098,2094.080078,2108.570068,4038900000,2108.570068
2015-07-28,2070.75,2095.600098,2069.090088,2093.25,4117740000,2093.25
2015-07-27,2078.189941,2078.189941,2063.52002,2067.639893,3836750000,2067.639893
2015-07-24,2102.23999,2106.01001,2077.090088,2079.649902,3870040000,2079.649902
2015-07-23,2114.159912,2116.870117,2098.629883,2102.149902,3772810000,2102.149902
2015-07-22,2118.209961,2118.51001,2110,2114.149902,3694070000,2114.149902
